Fecha,Tributarios ,Tributarios (SA)
mar.-14,_-* 7823_-,_-* 8875.59_-
abr.-14,_-* 12107_-,_-* 8552.95_-
may.-14,_-* 11295_-,_-* 8968.17_-
jun.-14,_-* 10983_-,_-* 8667.61_-
jul.-14,_-* 8679_-,_-* 9016.92_-
ago.-14,_-* 5560_-,_-* 8413.15_-
sept.-14,_-* 11896_-,_-* 9138.78_-
oct.-14,_-* 5627_-,_-* 8881.01_-
nov.-14,_-* 8851_-,_-* 9201.35_-
dic.-14,_-* 5932_-,_-* 9236.79_-
ene.-15,_-* 12449_-,_-* 9385.41_-
feb.-15,_-* 6247_-,_-* 8945.88_-
mar.-15,_-* 8539_-,_-* 9526.96_-
abr.-15,_-* 13250_-,_-* 9556.31_-
may.-15,_-* 12621_-,_-* 9819.84_-
jun.-15,_-* 11664_-,_-* 9552.02_-
jul.-15,_-* 9305_-,_-* 9713.96_-
ago.-15,_-* 6474_-,_-* 9959.83_-
sept.-15,_-* 13463_-,_-* 10176.36_-
oct.-15,_-* 6607_-,_-* 10318.37_-
nov.-15,_-* 9331_-,_-* 9594.81_-
dic.-15,_-* 6446_-,_-* 9824.09_-
ene.-16,_-* 13402_-,_-* 9878.99_-
feb.-16,_-* 6496_-,_-* 9539.18_-
mar.-16,_-* 8677_-,_-* 9470.43_-
abr.-16,_-* 13377_-,_-* 9995.85_-
may.-16,_-* 12484_-,_-* 9701.96_-
jun.-16,_-* 12845_-,_-* 10833.76_-
jul.-16,_-* 8698_-,_-* 8994.16_-
ago.-16,_-* 6168_-,_-* 9491.72_-
sept.-16,_-* 12618_-,_-* 9583.24_-
oct.-16,_-* 6246_-,_-* 9650.66_-
nov.-16,_-* 9634_-,_-* 9604.17_-
dic.-16,_-* 6677_-,_-* 9842.86_-
ene.-17,_-* 13164_-,_-* 9591.12_-
feb.-17,_-* 6186_-,_-* 9075.80_-
mar.-17,_-* 9722_-,_-* 10363.17_-
abr.-17,_-* 13538_-,_-* 10592.23_-
may.-17,_-* 13944_-,_-* 10999.95_-
jun.-17,_-* 12616_-,_-* 10964.16_-
jul.-17,_-* 10629_-,_-* 10816.65_-
ago.-17,_-* 7057_-,_-* 10658.67_-
sept.-17,_-* 14643_-,_-* 11317.52_-
oct.-17,_-* 6778_-,_-* 10360.42_-
nov.-17,_-* 11432_-,_-* 11036.38_-
dic.-17,_-* 7244_-,_-* 10360.66_-
ene.-18,_-* 15243_-,_-* 10811.87_-
feb.-18,_-* 7058_-,_-* 10215.19_-
